date,A,B,C,D,E
2022-12-11,451.027,55.0,93.0,41.0,213.0
2022-12-12,456.684,127.0,195.0,71.0,430.0
2022-12-13,406.711,136.0,179.0,60.0,423.0
2022-12-14,401.9,122.0,176.0,56.0,414.0
2022-12-15,474.54800000000006,129.0,178.0,69.0,369.0
2022-12-16,534.388,132.0,155.0,60.0,413.0
2022-12-17,535.844,76.0,125.0,50.0,249.0
2022-12-18,489.737,52.0,95.0,63.0,202.0
2022-12-19,466.875,121.0,193.0,51.0,439.0
2022-12-20,432.546,128.0,169.0,62.0,457.0
2022-12-21,411.895,135.0,175.0,70.0,492.0
2022-12-22,396.529,107.0,140.0,71.0,410.0
2022-12-23,466.4140000000001,110.0,169.0,60.0,405.0
2022-12-24,456.083,83.0,101.0,38.0,265.0
2022-12-25,392.282,80.0,118.0,53.0,253.0
2022-12-26,393.398,120.0,175.0,63.0,453.0
2022-12-27,404.101,125.0,150.0,55.0,399.0
2022-12-28,427.761,111.0,170.0,46.0,434.0
2022-12-29,623.606,114.0,157.0,50.0,438.0
2022-12-30,950.797,112.0,135.0,41.0,334.0
2022-12-31,617.4169999999999,46.0,75.0,36.0,157.0
2023-01-01,141.324,38.0,56.0,30.0,121.0
2023-01-02,225.06200000000004,43.0,62.0,22.0,184.0
2023-01-03,286.17,49.0,62.0,31.0,164.0
2023-01-04,344.933,60.0,73.0,39.0,214.0
2023-01-05,344.57000000000005,62.0,82.0,33.0,253.0
2023-01-06,451.651,66.0,85.0,27.0,218.0
2023-01-07,288.031,39.0,75.0,28.0,141.0
2023-01-08,302.576,54.0,59.0,32.0,187.0
2023-01-09,378.621,108.0,121.0,33.0,365.0
2023-01-10,398.958,114.0,153.0,55.0,373.0
2023-01-11,406.125,117.0,145.0,52.0,412.0
2023-01-12,413.69000000000005,103.0,148.0,51.0,411.0
2023-01-13,423.836,117.0,178.0,37.0,428.0
2023-01-14,451.577,77.0,92.0,37.0,247.0
2023-01-15,415.399,52.0,82.0,38.0,166.0
2023-01-16,486.185,129.0,176.0,60.0,425.0
2023-01-17,463.9,135.0,174.0,54.0,463.0
2023-01-18,465.025,98.0,150.0,48.0,354.0
2023-01-19,426.429,132.0,183.0,54.0,446.0
2023-01-20,511.459,135.0,167.0,50.0,452.0
2023-01-21,499.837,76.0,95.0,40.0,284.0
2023-01-22,505.483,59.0,77.0,39.0,184.0
2023-01-23,485.0220000000001,112.0,151.0,56.0,469.0
2023-01-24,475.4430000000001,113.0,189.0,54.0,413.0
2023-01-25,450.235,116.0,190.0,50.0,434.0
2023-01-26,538.213,104.0,156.0,52.0,456.0
2023-01-27,546.701,120.0,185.0,54.0,486.0
2023-01-28,564.607,65.0,94.0,49.0,214.0
2023-01-29,508.8130000000001,57.0,70.0,29.0,205.0
2023-01-30,478.755,139.0,153.0,59.0,444.0
2023-01-31,481.68,120.0,201.0,51.0,415.0
2023-02-01,491.817,130.0,178.0,58.0,473.0
2023-02-02,449.196,135.0,191.0,50.0,444.0
2023-02-03,577.475,131.0,165.0,54.0,437.0
2023-02-04,551.953,64.0,67.0,31.0,223.0
2023-02-05,472.371,63.0,91.0,38.0,197.0
2023-02-06,397.024,133.0,171.0,42.0,433.0
2023-02-07,461.042,125.0,177.0,51.0,417.0
2023-02-08,488.655,139.0,185.0,49.0,422.0
2023-02-09,445.245,140.0,182.0,52.0,403.0
2023-02-10,550.77,141.0,233.0,47.0,384.0
2023-02-11,454.919,62.0,90.0,34.0,266.0
2023-02-12,485.647,57.0,87.0,29.0,179.0
2023-02-13,446.855,113.0,182.0,53.0,421.0
2023-02-14,508.409,125.0,169.0,55.0,451.0
2023-02-15,645.712,147.0,145.0,59.0,401.0
2023-02-16,436.271,114.0,161.0,61.0,442.0
2023-02-17,477.297,121.0,172.0,47.0,424.0
2023-02-18,485.923,61.0,110.0,47.0,221.0
2023-02-19,465.708,67.0,95.0,50.0,228.0
2023-02-20,416.533,118.0,196.0,55.0,442.0
2023-02-21,418.723,102.0,195.0,42.0,375.0
2023-02-22,525.038,124.0,154.0,50.0,352.0
2023-02-23,484.59,65.0,84.0,46.0,207.0
2023-02-24,327.871,58.0,80.0,38.0,247.0
2023-02-25,344.67600000000004,82.0,87.0,40.0,229.0
2023-02-26,363.09,57.0,80.0,44.0,197.0
2023-02-27,542.521,128.0,136.0,48.0,388.0
2023-02-28,482.097,129.0,132.0,60.0,420.0
2023-03-01,500.824,131.0,160.0,57.0,436.0
2023-03-02,521.262,137.0,168.0,53.0,374.0
2023-03-03,541.633,134.0,195.0,57.0,371.0
2023-03-04,545.324,78.0,81.0,45.0,217.0
2023-03-05,371.719,58.0,105.0,36.0,172.0
2023-03-06,375.747,119.0,144.0,52.0,432.0
2023-03-07,456.576,132.0,165.0,54.0,441.0
2023-03-08,482.761,63.0,95.0,43.0,197.0
2023-03-09,386.82,131.0,148.0,38.0,359.0
2023-03-10,500.961,119.0,184.0,38.0,387.0
2023-03-11,444.087,60.0,116.0,38.0,209.0
2023-03-12,388.939,54.0,65.0,27.0,180.0
2023-03-13,419.91,133.0,132.0,53.0,397.0
2023-03-14,464.136,122.0,188.0,40.0,411.0
2023-03-15,522.341,140.0,174.0,44.0,445.0
2023-03-16,553.5809999999999,116.0,192.0,31.0,367.0
2023-03-17,609.37,117.0,191.0,47.0,421.0
2023-03-18,410.921,61.0,84.0,43.0,317.0
2023-03-19,372.061,62.0,109.0,48.0,239.0
2023-03-20,413.893,118.0,181.0,44.0,391.0
2023-03-21,432.382,118.0,153.0,38.0,415.0
2023-03-22,462.741,110.0,165.0,46.0,459.0
2023-03-23,545.47,112.0,191.0,44.0,451.0
2023-03-24,629.646,128.0,153.0,46.0,414.0
2023-03-25,444.383,75.0,84.0,35.0,246.0
2023-03-26,466.231,60.0,104.0,20.0,242.0
2023-03-27,454.09,129.0,153.0,62.0,490.0
2023-03-28,525.528,132.0,187.0,52.0,450.0
2023-03-29,496.54,109.0,172.0,63.0,451.0
2023-03-30,472.34,127.0,159.0,51.0,497.0
2023-03-31,541.268,146.0,190.0,73.0,448.0
2023-04-01,490.759,65.0,118.0,42.0,250.0
2023-04-02,450.805,77.0,103.0,31.0,212.0
2023-04-03,450.222,118.0,188.0,53.0,512.0
2023-04-04,393.702,148.0,182.0,47.0,503.0
2023-04-05,413.513,125.0,211.0,56.0,482.0
2023-04-06,421.502,142.0,220.0,60.0,465.0
2023-04-07,504.687,156.0,160.0,62.0,506.0
2023-04-08,377.904,82.0,88.0,45.0,246.0
2023-04-09,398.049,64.0,92.0,54.0,248.0
2023-04-10,425.24,146.0,165.0,55.0,428.0
2023-04-11,437.263,137.0,189.0,41.0,531.0
2023-04-12,470.572,153.0,174.0,48.0,491.0
2023-04-13,425.4530000000001,128.0,191.0,78.0,440.0
2023-04-14,493.995,139.0,203.0,61.0,457.0
2023-04-15,493.28,82.0,113.0,41.0,307.0
2023-04-16,306.061,55.0,79.0,59.0,251.0
2023-04-17,283.88,106.0,194.0,66.0,468.0
2023-04-18,349.967,99.0,218.0,56.0,465.0
2023-04-19,342.353,115.0,204.0,48.0,524.0
2023-04-20,384.457,139.0,189.0,60.0,528.0
2023-04-21,437.65,113.0,176.0,60.0,478.0
2023-04-22,387.893,66.0,114.0,58.0,264.0
2023-04-23,420.11300000000006,48.0,117.0,35.0,247.0
2023-04-24,373.164,144.0,163.0,72.0,483.0
2023-04-25,418.965,138.0,220.0,59.0,450.0
2023-04-26,432.238,125.0,207.0,54.0,471.0
2023-04-27,404.181,158.0,189.0,52.0,511.0
2023-04-28,479.15100000000007,156.0,215.0,50.0,534.0
2023-04-29,376.55,82.0,108.0,52.0,233.0
2023-04-30,419.556,63.0,94.0,34.0,212.0
2023-05-01,415.581,70.0,105.0,56.0,212.0
2023-05-02,416.84,105.0,201.0,69.0,558.0
2023-05-03,392.833,115.0,201.0,51.0,450.0
2023-05-04,416.4820000000001,118.0,177.0,58.0,468.0
2023-05-05,481.664,125.0,206.0,68.0,495.0
2023-05-06,404.831,70.0,86.0,36.0,321.0
2023-05-07,323.783,50.0,92.0,33.0,208.0
2023-05-08,313.932,62.0,128.0,37.0,222.0
2023-05-09,351.22700000000003,60.0,97.0,38.0,269.0
2023-05-10,409.849,131.0,163.0,65.0,527.0
2023-05-11,383.019,143.0,183.0,69.0,464.0
2023-05-12,436.07,133.0,211.0,57.0,482.0
2023-05-13,425.845,64.0,98.0,33.0,269.0
2023-05-14,418.327,77.0,94.0,41.0,329.0
2023-05-15,390.902,125.0,239.0,43.0,510.0
2023-05-16,357.427,131.0,231.0,53.0,477.0
2023-05-17,328.652,113.0,211.0,40.0,460.0
2023-05-18,434.72,135.0,169.0,55.0,503.0
2023-05-19,449.53,125.0,194.0,41.0,460.0
2023-05-20,313.01,62.0,121.0,46.0,261.0
2023-05-21,354.488,72.0,108.0,29.0,244.0
2023-05-22,334.935,125.0,207.0,49.0,529.0
2023-05-23,402.838,121.0,196.0,53.0,497.0
2023-05-24,404.951,137.0,245.0,39.0,467.0
2023-05-25,435.371,111.0,217.0,56.0,430.0
2023-05-26,479.5730000000001,129.0,209.0,43.0,508.0
2023-05-27,368.608,72.0,125.0,36.0,267.0
2023-05-28,357.022,52.0,116.0,38.0,235.0
2023-05-29,328.759,145.0,224.0,61.0,479.0
2023-05-30,310.453,160.0,157.0,53.0,581.0
2023-05-31,401.196,143.0,221.0,62.0,465.0
2023-06-01,406.618,126.0,238.0,60.0,463.0
2023-06-02,446.688,145.0,213.0,59.0,483.0
2023-06-03,312.659,61.0,104.0,49.0,225.0
2023-06-04,413.441,90.0,128.0,40.0,295.0
2023-06-05,313.38800000000003,147.0,215.0,55.0,489.0
2023-06-06,275.00300000000004,137.0,262.0,49.0,507.0
2023-06-07,272.308,146.0,248.0,39.0,468.0
2023-06-08,295.011,135.0,222.0,57.0,538.0
2023-06-09,435.475,134.0,252.0,52.0,464.0
2023-06-10,353.25600000000003,71.0,139.0,40.0,257.0
2023-06-11,302.849,67.0,132.0,33.0,226.0
2023-06-12,302.331,68.0,104.0,29.0,233.0
2023-06-13,367.593,168.0,232.0,45.0,471.0
2023-06-14,406.309,148.0,255.0,49.0,515.0
2023-06-15,340.262,136.0,210.0,51.0,482.0
2023-06-16,391.815,138.0,173.0,53.0,463.0
2023-06-17,298.434,74.0,86.0,30.0,253.0
2023-06-18,263.795,85.0,105.0,28.0,235.0
2023-06-19,339.731,166.0,147.0,45.0,532.0
2023-06-20,389.4380000000001,157.0,197.0,47.0,519.0
2023-06-21,319.055,145.0,202.0,41.0,504.0
2023-06-22,375.764,143.0,197.0,57.0,464.0
2023-06-23,367.317,130.0,209.0,53.0,524.0
2023-06-24,309.41,83.0,101.0,24.0,298.0
2023-06-25,356.721,78.0,91.0,19.0,246.0
2023-06-26,313.993,124.0,178.0,45.0,514.0
2023-06-27,363.308,161.0,186.0,40.0,535.0
2023-06-28,373.203,135.0,191.0,62.0,523.0
2023-06-29,316.295,133.0,221.0,50.0,479.0
2023-06-30,353.31100000000004,139.0,183.0,57.0,567.0
2023-07-01,244.558,72.0,85.0,24.0,340.0
2023-07-02,258.816,80.0,80.0,37.0,218.0
2023-07-03,277.11400000000003,135.0,175.0,40.0,499.0
2023-07-04,229.726,141.0,210.0,46.0,430.0
2023-07-05,244.935,132.0,177.0,63.0,494.0
2023-07-06,304.278,146.0,182.0,40.0,444.0
2023-07-07,291.874,142.0,195.0,41.0,393.0
2023-07-08,313.926,78.0,118.0,33.0,244.0
2023-07-09,262.784,67.0,85.0,32.0,243.0
2023-07-10,351.573,114.0,170.0,53.0,468.0
2023-07-11,363.71,157.0,251.0,77.0,502.0
2023-07-12,256.443,138.0,198.0,64.0,479.0
2023-07-13,276.927,133.0,187.0,54.0,529.0
2023-07-14,333.339,154.0,147.0,51.0,561.0
2023-07-15,263.034,81.0,113.0,34.0,275.0
2023-07-16,237.411,71.0,114.0,38.0,245.0
2023-07-17,263.284,131.0,175.0,43.0,541.0
2023-07-18,270.67,136.0,208.0,47.0,479.0
2023-07-19,269.65500000000003,144.0,224.0,52.0,438.0
2023-07-20,292.896,149.0,198.0,38.0,519.0
2023-07-21,239.266,150.0,210.0,54.0,479.0
2023-07-22,155.85399999999998,74.0,104.0,38.0,213.0
2023-07-23,250.445,51.0,90.0,30.0,225.0
2023-07-24,218.234,149.0,202.0,56.0,476.0
2023-07-25,260.864,151.0,167.0,56.0,517.0
2023-07-26,272.282,146.0,163.0,53.0,500.0
2023-07-27,350.958,169.0,171.0,46.0,430.0
2023-07-28,310.94100000000003,144.0,166.0,33.0,428.0
2023-07-29,261.17900000000003,94.0,107.0,38.0,219.0
2023-07-30,269.177,62.0,88.0,33.0,201.0
2023-07-31,248.527,171.0,182.0,61.0,463.0
2023-08-01,178.554,138.0,175.0,37.0,518.0
2023-08-02,251.009,149.0,169.0,43.0,514.0
2023-08-03,280.084,162.0,194.0,45.0,456.0
2023-08-04,265.79200000000003,119.0,156.0,37.0,405.0
2023-08-05,227.16100000000003,86.0,85.0,37.0,239.0
2023-08-06,247.474,74.0,75.0,33.0,226.0
2023-08-07,293.731,154.0,191.0,45.0,441.0
2023-08-08,297.065,176.0,187.0,34.0,445.0
2023-08-09,231.691,164.0,226.0,56.0,431.0
2023-08-10,227.89100000000005,123.0,208.0,51.0,512.0
2023-08-11,322.896,157.0,189.0,46.0,497.0
2023-08-12,230.58,78.0,106.0,28.0,235.0
2023-08-13,249.725,67.0,120.0,33.0,249.0
2023-08-14,241.24400000000003,157.0,220.0,39.0,491.0
2023-08-15,277.43,166.0,190.0,50.0,492.0
2023-08-16,268.01800000000003,172.0,206.0,48.0,501.0
2023-08-17,267.284,148.0,187.0,37.0,484.0
2023-08-18,308.086,167.0,197.0,48.0,532.0
2023-08-19,234.028,78.0,101.0,26.0,243.0
2023-08-20,320.242,76.0,121.0,33.0,234.0
2023-08-21,253.988,165.0,218.0,54.0,527.0
2023-08-22,267.364,155.0,221.0,55.0,585.0
2023-08-23,333.12,186.0,204.0,43.0,539.0
2023-08-24,333.085,172.0,212.0,50.0,557.0
2023-08-25,316.301,170.0,190.0,48.0,592.0
2023-08-26,213.149,100.0,107.0,40.0,289.0
2023-08-27,268.577,88.0,101.0,37.0,286.0
2023-08-28,318.51,170.0,250.0,62.0,549.0
2023-08-29,272.492,170.0,227.0,57.0,647.0
2023-08-30,287.33,151.0,245.0,63.0,592.0
2023-08-31,324.13800000000003,148.0,235.0,54.0,503.0
2023-09-01,431.273,171.0,189.0,57.0,557.0
2023-09-02,259.887,89.0,123.0,26.0,302.0
2023-09-03,284.333,87.0,102.0,47.0,316.0
2023-09-04,295.24,167.0,204.0,43.0,521.0
2023-09-05,338.847,153.0,202.0,43.0,544.0
2023-09-06,348.824,174.0,228.0,53.0,538.0
2023-09-07,349.337,193.0,225.0,68.0,623.0
2023-09-08,406.948,168.0,194.0,58.0,504.0
2023-09-09,323.28900000000004,106.0,137.0,65.0,341.0
2023-09-10,350.81600000000003,81.0,115.0,39.0,244.0
2023-09-11,301.062,176.0,213.0,69.0,601.0
2023-09-12,280.968,152.0,230.0,54.0,585.0
2023-09-13,319.742,171.0,220.0,57.0,506.0
2023-09-14,297.139,185.0,242.0,46.0,554.0
2023-09-15,433.775,182.0,230.0,62.0,563.0
2023-09-16,290.358,107.0,138.0,42.0,342.0
2023-09-17,328.952,88.0,150.0,38.0,304.0
2023-09-18,387.091,167.0,227.0,57.0,586.0
2023-09-19,337.085,165.0,249.0,53.0,546.0
2023-09-20,383.744,145.0,202.0,64.0,588.0
2023-09-21,367.097,174.0,219.0,55.0,558.0
2023-09-22,407.893,141.0,231.0,53.0,590.0
2023-09-23,331.295,103.0,153.0,36.0,286.0
2023-09-24,330.442,77.0,134.0,38.0,271.0
2023-09-25,326.392,149.0,226.0,50.0,565.0
2023-09-26,300.202,170.0,222.0,58.0,573.0
2023-09-27,337.75100000000003,175.0,219.0,57.0,578.0
2023-09-28,366.1,167.0,226.0,57.0,543.0
2023-09-29,363.962,157.0,257.0,58.0,518.0
2023-09-30,249.407,98.0,159.0,39.0,285.0
2023-10-01,330.08399999999995,92.0,125.0,39.0,305.0
2023-10-02,345.41700000000003,174.0,208.0,62.0,547.0
2023-10-03,268.432,157.0,249.0,51.0,577.0
2023-10-04,326.104,173.0,250.0,42.0,559.0
2023-10-05,311.288,146.0,255.0,64.0,572.0
2023-10-06,366.043,141.0,222.0,54.0,530.0
2023-10-07,319.534,121.0,131.0,50.0,321.0
2023-10-08,249.35,87.0,123.0,35.0,243.0
2023-10-09,303.395,160.0,210.0,46.0,557.0
2023-10-10,345.395,152.0,211.0,51.0,588.0
2023-10-11,296.917,166.0,199.0,76.0,566.0
2023-10-12,347.17999999999995,156.0,218.0,70.0,559.0
2023-10-13,320.815,170.0,227.0,60.0,574.0
2023-10-14,352.351,95.0,130.0,40.0,307.0
2023-10-15,344.93,80.0,130.0,46.0,281.0
2023-10-16,339.43300000000005,163.0,216.0,66.0,655.0
2023-10-17,323.046,164.0,197.0,64.0,533.0
2023-10-18,347.415,164.0,225.0,66.0,568.0
2023-10-19,286.974,182.0,189.0,89.0,567.0
2023-10-20,337.397,163.0,217.0,101.0,536.0
2023-10-21,353.538,95.0,138.0,71.0,341.0
2023-10-22,305.866,75.0,124.0,67.0,299.0
2023-10-23,298.15000000000003,177.0,226.0,70.0,522.0
2023-10-24,391.214,183.0,194.0,78.0,575.0
2023-10-25,403.6470000000001,194.0,233.0,85.0,547.0
2023-10-26,334.313,189.0,247.0,96.0,511.0
2023-10-27,362.11,196.0,233.0,97.0,526.0
2023-10-28,355.995,92.0,155.0,52.0,317.0
2023-10-29,331.251,88.0,130.0,69.0,281.0
2023-10-30,307.685,160.0,256.0,72.0,503.0
2023-10-31,369.4,183.0,245.0,72.0,545.0
2023-11-01,360.805,193.0,247.0,70.0,566.0
2023-11-02,314.279,172.0,246.0,66.0,547.0
2023-11-03,472.561,200.0,306.0,78.0,565.0
2023-11-04,359.298,88.0,116.0,54.0,312.0
2023-11-05,255.008,94.0,120.0,53.0,285.0
2023-11-06,293.539,86.0,156.0,57.0,306.0
2023-11-07,354.574,158.0,281.0,78.0,542.0
2023-11-08,312.137,199.0,288.0,79.0,549.0
2023-11-09,362.884,172.0,260.0,83.0,611.0
2023-11-10,458.477,187.0,276.0,68.0,608.0
2023-11-11,412.716,87.0,159.0,57.0,363.0
2023-11-12,376.851,79.0,159.0,66.0,265.0
2023-11-13,353.407,180.0,249.0,90.0,553.0
2023-11-14,337.758,169.0,256.0,71.0,569.0
2023-11-15,346.11,181.0,226.0,75.0,560.0
2023-11-16,286.81100000000004,174.0,232.0,59.0,563.0
2023-11-17,362.492,170.0,224.0,69.0,601.0
2023-11-18,423.625,83.0,156.0,64.0,307.0
2023-11-19,367.347,55.0,122.0,50.0,277.0
2023-11-20,379.768,165.0,260.0,74.0,538.0
2023-11-21,298.961,161.0,245.0,76.0,588.0
2023-11-22,347.581,185.0,259.0,81.0,557.0
2023-11-23,394.934,170.0,224.0,85.0,556.0
2023-11-24,491.197,165.0,194.0,77.0,577.0
2023-11-25,360.452,108.0,133.0,47.0,277.0
2023-11-26,310.825,73.0,112.0,62.0,304.0
2023-11-27,341.116,168.0,223.0,82.0,555.0
2023-11-28,310.542,164.0,224.0,64.0,549.0
2023-11-29,365.211,166.0,244.0,74.0,600.0
2023-11-30,365.271,148.0,251.0,68.0,621.0
2023-12-01,425.826,152.0,229.0,75.0,555.0
2023-12-02,360.022,72.0,125.0,62.0,322.0
2023-12-03,360.371,93.0,139.0,49.0,251.0
2023-12-04,382.822,175.0,244.0,64.0,551.0
2023-12-05,394.229,150.0,227.0,76.0,574.0
2023-12-06,336.38800000000003,162.0,233.0,87.0,548.0
2023-12-07,351.319,181.0,220.0,70.0,547.0
2023-12-08,390.946,139.0,212.0,90.0,576.0
2023-12-09,393.361,80.0,127.0,53.0,267.0
2023-12-10,333.19800000000004,81.0,123.0,51.0,289.0
2023-12-11,334.383,168.0,216.0,78.0,556.0
2023-12-12,305.47,157.0,230.0,54.0,545.0
2023-12-13,352.425,156.0,201.0,76.0,571.0
2023-12-14,612.512,171.0,254.0,86.0,643.0
2023-12-15,669.824,188.0,247.0,91.0,615.0
2023-12-16,679.0450000000001,101.0,196.0,83.0,380.0
2023-12-17,625.928,81.0,150.0,62.0,350.0
2023-12-18,588.38,173.0,264.0,69.0,619.0
2023-12-19,547.879,187.0,290.0,85.0,652.0
2023-12-20,639.105,163.0,229.0,94.0,615.0
2023-12-21,577.495,198.0,269.0,78.0,616.0
2023-12-22,591.783,157.0,249.0,89.0,629.0
2023-12-23,609.952,133.0,165.0,73.0,412.0
2023-12-24,591.2429999999999,101.0,139.0,55.0,364.0
2023-12-25,495.064,165.0,265.0,80.0,640.0
2023-12-26,503.383,195.0,251.0,61.0,631.0
2023-12-27,583.568,193.0,245.0,85.0,593.0
2023-12-28,684.66,198.0,276.0,76.0,656.0
2023-12-29,807.205,136.0,245.0,84.0,542.0
2023-12-30,1433.534,95.0,163.0,52.0,313.0
2023-12-31,939.175,91.0,129.0,60.0,312.0
2024-01-01,161.945,72.0,137.0,102.0,212.0
2024-01-02,205.471,76.0,113.0,58.0,268.0
2024-01-03,423.427,77.0,113.0,69.0,277.0
2024-01-04,607.345,88.0,150.0,63.0,282.0
2024-01-05,551.202,90.0,156.0,59.0,310.0
2024-01-06,575.837,91.0,113.0,77.0,317.0
2024-01-07,613.23,67.0,145.0,65.0,235.0
2024-01-08,588.309,88.0,153.0,53.0,307.0
2024-01-09,566.028,173.0,229.0,58.0,597.0
2024-01-10,597.231,180.0,266.0,76.0,605.0
2024-01-11,498.14,161.0,206.0,57.0,540.0
2024-01-12,558.341,180.0,204.0,70.0,578.0
2024-01-13,576.5640000000001,99.0,174.0,66.0,338.0
2024-01-14,589.523,79.0,103.0,58.0,295.0
2024-01-15,498.379,197.0,250.0,72.0,574.0
